Run 1,,Run 2,,Run 3,,Run 4,,Run 5,
Data,Duration,Data,Duration,Data,Duration,Data,Duration,Data,Duration
2020-04-18T22:33:31.9966852Z ##[section]Starting: Release,,2020-04-18T22:36:18.8961096Z ##[section]Starting: Release,,2020-04-18T22:40:01.6594662Z ##[section]Starting: Release,,2020-04-18T22:41:31.3879520Z ##[section]Starting: Release,,2020-04-18T22:43:01.4315813Z ##[section]Starting: Release,
2020-04-18T22:33:33.2439067Z ##[section]Starting: Initialize job,,2020-04-18T22:36:19.9744814Z ##[section]Starting: Initialize job,,2020-04-18T22:40:02.7759034Z ##[section]Starting: Initialize job,,2020-04-18T22:41:32.5231959Z ##[section]Starting: Initialize job,,2020-04-18T22:43:02.4500729Z ##[section]Starting: Initialize job,
2020-04-18T22:34:41.5838676Z ##[section]Finishing: Start Services,4,2020-04-18T22:36:57.5617868Z ##[section]Finishing: Start Services,4,2020-04-18T22:40:40.1962568Z ##[section]Finishing: Start Services,4,2020-04-18T22:42:05.3938431Z ##[section]Finishing: Start Services,5,2020-04-18T22:43:35.3480121Z ##[section]Finishing: Start Services,4
2020-04-18T22:34:41.6033919Z ##[section]Starting: Run Tests,,2020-04-18T22:36:57.5897016Z ##[section]Starting: Run Tests,,2020-04-18T22:40:40.2173030Z ##[section]Starting: Run Tests,,2020-04-18T22:42:05.4331299Z ##[section]Starting: Run Tests,,2020-04-18T22:43:35.3682477Z ##[section]Starting: Run Tests,
2020-04-18T22:34:45.2748587Z ##[section]Finishing: Run Tests,4,2020-04-18T22:37:01.0093115Z ##[section]Finishing: Run Tests,4,2020-04-18T22:40:43.4123442Z ##[section]Finishing: Run Tests,3,2020-04-18T22:42:08.6383971Z ##[section]Finishing: Run Tests,3,2020-04-18T22:43:38.6259504Z ##[section]Finishing: Run Tests,3
2020-04-18T22:34:45.3080993Z ##[section]Starting: Finalize Job,,2020-04-18T22:37:01.0405014Z ##[section]Starting: Finalize Job,,2020-04-18T22:40:43.4366842Z ##[section]Starting: Finalize Job,,2020-04-18T22:42:08.6601650Z ##[section]Starting: Finalize Job,,2020-04-18T22:43:38.6575348Z ##[section]Starting: Finalize Job,
2020-04-18T22:34:45.3305879Z ##[section]Finishing: Finalize Job,,2020-04-18T22:37:01.0603739Z ##[section]Finishing: Finalize Job,,2020-04-18T22:40:43.5720832Z ##[section]Finishing: Finalize Job,,2020-04-18T22:42:08.7185918Z ##[section]Finishing: Finalize Job,,2020-04-18T22:43:38.6777508Z ##[section]Finishing: Finalize Job,
2020-04-18T22:34:45.3561221Z ##[section]Finishing: Release,0,2020-04-18T22:37:01.0827867Z ##[section]Finishing: Release,0,2020-04-18T22:40:43.5970172Z ##[section]Finishing: Release,0,2020-04-18T22:42:08.7383416Z ##[section]Finishing: Release,0,2020-04-18T22:43:38.7019994Z ##[section]Finishing: Release,0
,,,,,,,,,
,,,,,,,,,
Category,Run 1,Run 2,Run 3,Run 4,Run 5,Average,,,
Initialise Job,3,2,2,1,1,1.8,,,
Copy Files,13,9,7,4,5,7.6,,,
Prepare Infrastructure,11,10,11,9,10,10.2,,,
Apply Modfications,39,14,15,14,14,19.2,,,
Prepare Infrastructure,4,4,4,5,4,4.2,,,
Testing,4,4,3,3,3,3.4,,,
Total,74,43,42,36,37,46.4,,,
